"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"62","Greg Dortch","WR","DET","16","13.3","15.5","17","1.6","0","0","7.6","1.2","1.3","0","19.3","-","-","0","0","22.3","5.5","8.5","7.1","113.1"
"63","DeAndre Carter","WR","FA","17","15.4","8.5","5.6","1.6","2.9","4.7","6.7","-","10.3","16.4","6.3","20.3","2.4","1","1.5","0","3.4","5.3","6.6","112.3"
"63","Alec Pierce","WR","IND","16","0","-","9.1","12","16.1","13.9","6.7","9.5","3.3","0","5.8","0","18.6","BYE","0","5.6","4.5","7.2","7","112.3"
"65","Olamide Zaccheaus","WR","ATL","17","6.9","10.1","6.9","7.5","11.9","9.8","6.1","1.4","3.9","5.4","3.2","14.1","3.3","BYE","0","5.8","0","13.7","6.5","110"
"66","Michael Gallup","WR","FA","14","-","-","-","10.4","8.4","3.8","0","8.9","-","7.5","7.1","11.3","18.3","6","1.2","13.6","6.9","2","7.5","105.4"
"67","Chase Claypool","WR","FA","15","9.4","6.6","7.6","0","10","23.4","9.1","12.5","3.7","1.8","3.1","7.1","5.8","-","-","-","0","4.9","7","105"
"68","Josh Reynolds","WR","FA","12","3.8","12.8","15.6","21.1","15.2","-","1.8","3.4","-","-","-","-","4.9","16.1","-","5.1","1.5","2.6","8.7","103.9"
"69","Demarcus Robinson","WR","SF","16","3.9","8.2","0","3","1.8","5.7","-","12.4","2.2","-","21.8","2.7","11.1","10.2","6.9","7.6","1.9","4.4","6.5","103.8"
"70","DeVante Parker","WR","FA","13","1.9","0","20.6","10.4","0","10.4","9.8","0","-","-","3.9","12","3.6","4.4","-","-","-","25.9","7.9","102.9"
"71","Romeo Doubs","WR","NE","13","8.8","4.7","21.3","13.7","5.9","6.1","0","16.2","2.8","BYE","-","-","-","-","10.5","6.6","5","0","7.8","101.6"
"72","Darnell Mooney","WR","NYG","11","1.8","0.6","4.3","13.4","7.2","13.8","8.3","12","17.5","9.7","12.9","-","-","-","-","-","-","-","9.2","101.5"
"73","Rashid Shaheed","WR","SEA","12","-","-","-","-","-","10.4","12.3","6.8","0","2.2","1.8","7.9","11.5","-","18.5","8.1","13.9","7.1","8.4","100.5"
"74","Isaiah Hodgins","WR","NYG","9","-","-","-","-","8.1","-","-","-","BYE","6.1","3.9","6.1","15.4","15.8","7.7","22.9","14.2","-","11.1","100.2"
"75","DJ Chark Jr.","WR","FA","11","15.2","0","7.6","-","-","-","-","-","-","-","0","9.6","14.8","21.4","2.8","14.8","7.6","4.4","8.9","98.2"
"76","Corey Davis","WR","FA","13","13.7","16.3","4.7","18.4","5.8","7.2","0","-","-","-","-","1.9","13.5","2.5","-","3.4","7.5","2.7","7.5","97.6"
"77","Nico Collins","WR","HOU","10","4.6","9.8","6.1","11.2","10.5","BYE","6.3","-","-","15.9","9.8","10.4","12.5","-","-","-","-","-","9.7","97.1"
"78","Mecole Hardman Jr.","WR","BUF","8","10.6","7.5","1.2","1.4","12","13.2","28","-","19.9","-","-","-","-","-","-","-","-","-","11.7","93.8"
"79","Marquise Goodwin","WR","FA","13","4.2","0","5.1","0","-","4.6","22.7","7.3","-","11.8","-","8.5","2.7","20.3","3","0","-","-","6.9","90.2"
"80","Kendrick Bourne","WR","ARI","16","5.1","3.6","9.8","5.8","1","2.7","-","0","4.2","-","1.8","5.9","2.5","9.7","0","24.9","2.8","8.5","5.5","88.3"
"81","Elijah Moore","WR","FA","16","9.9","6.5","8.9","8.5","2.1","0","0","0","-","-","3.7","14","3.7","12","9.4","3.5","3.8","2.1","5.5","88.1"
"81","Treylon Burks","WR","WAS","11","8.5","8.7","3.1","3.8","-","-","-","-","-","5.4","18.1","11","9.5","BYE","-","1.5","12.6","5.9","8","88.1"
"83","Allen Robinson II","WR","FA","10","2.2","15.3","4.3","2.7","4.2","17.3","-","10.4","5.4","8.4","14.7","-","-","-","-","-","-","-","8.5","84.9"
"84","Quez Watkins","WR","PHI","17","0","14.9","0","0","4.9","0.7","BYE","0","4.5","10","11.1","12.5","8.7","5.9","5","2.9","0","3.4","5","84.5"
"85","Ben Skowronek","WR","PIT","14","6.5","3.6","10.6","5.3","10.1","16.7","-","2","0","3.4","1.4","2.5","5","15.9","1.3","-","-","-","6","84.3"
"86","Trent Sherfield Sr.","WR","FA","16","1.8","2.9","1.5","9.5","1.5","1.6","7.4","4.5","5.7","16.3","-","5.3","14.5","1.7","0","4.5","5","-","5.2","83.7"
"87","Terrace Marshall Jr.","WR","MIA","14","-","0","-","-","7","0","5.1","12.7","14.3","5.3","10.6","1.8","-","2.8","8.1","7.5","3.5","4.3","5.9","83"
"88","Nick Westbrook-Ikhine","WR","IND","16","2.3","2.3","7","-","9.2","-","0","0","0","28.9","4.8","9.8","1.4","11.3","0","4.3","1.4","0","5.2","82.7"
