#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
165,00-0033556,Tarik Cohen,RB,FA,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
165,,Pooka Williams Jr.,RB,FA,1,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,0
165,00-0036208,Artavis Pierce,RB,FA,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
165,00-0028063,Taiwan Jones,RB,FA,7,-,0,-,-,-,-,-,0,0,0,-,0,-,-,-,-,0,0,0,0
165,,Gerrid Doaks,RB,FA,4,-,0,-,-,0,-,-,-,0,-,0,-,-,-,-,-,-,-,0,0
165,,Tory Carter,RB,FA,5,-,-,0,-,-,-,-,0,-,0,0,0,-,-,-,-,-,-,0,0
165,00-0034400,Jordan Wilkins,RB,FA,2,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
165,00-0035304,Cullen Gillaspia,RB,FA,4,-,-,0,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0,0
165,,Nick Ralston,RB,FA,1,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
165,19245,J.K. Dobbins,RB,DEN,1,-,-,-,0,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,0,0
165,00-0035148,Darwin Thompson,RB,FA,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,0,0
165,,Sandro Platzgummer,RB,FA,3,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,0,0
165,00-0035912,LeVante Bellamy,RB,FA,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,0
165,00-0033838,Trey Edmunds,RB,FA,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,0
165,00-0033295,Elijah McGuire,RB,FA,3,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,0,0,0
165,,Brandin Bryant,RB,FA,3,-,-,-,-,-,-,-,-,-,-,-,0,-,0,0,-,-,-,0,0
165,00-0035898,Darius Bradwell,RB,LAC,2,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,0,0
165,,B.J. Emmons,RB,FA,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0
188,00-0036582,Nate McCrary,RB,BAL,1,-,-,-,-,-,-,-,-,-,-,-,-,-0.1,-,-,-,-,-,-0.1,-0.1
189,00-0034164,Trenton Cannon,RB,SF,10,0.5,-0.1,0,-2,0,-,0,0,0,0,0,-,-,-,-,-,-,-,-0.2,-1.6
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
