"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"48","Ty Chandler","RB","NO","16","2.8","2.9","4.1","0","1.5","0","2.2","0","-","10.5","15","2.1","-","7.2","24.7","7.7","9.4","10.9","6.3","101"
"49","Kenneth Gainwell","RB","TB","16","11.4","-","5.8","6.1","3.4","2.7","7.6","5.6","9.3","-","1.5","5.6","9.7","2.8","2.1","10.9","6.7","6.2","6.1","97.4"
"50","Rico Dowdle","RB","PIT","16","2.4","5.3","13.6","2.7","1.5","1.2","-","4.5","0.8","13.9","4","9.6","3.2","12.2","3.2","0.4","-","13","5.7","91.5"
"51","D'Onta Foreman","RB","FA","9","4.4","-","-","-","-","7.7","33","4.6","8.3","17.2","7.4","-","-","9.2","-0.6","-","-","-","10.1","91.2"
"52","Miles Sanders","RB","FA","16","11.8","7.7","17.2","6.2","1.2","-","-","0","9.1","3","6.2","2.8","3.9","7.4","3.3","1.8","4.2","1.8","5.5","87.6"
"53","Jerick McKinnon","RB","FA","12","2","5.2","17.8","0.7","4.5","5","4.6","1.8","10.4","-","3.5","-","-","12.7","16.2","-","-","-","7","84.4"
"54","Latavius Murray","RB","FA","16","2.7","11.1","9.1","7.6","1.7","4.5","4.8","2.1","2","14.9","3.5","7.8","-","4","7.1","0","0","-","5.2","82.9"
"55","Dameon Pierce","RB","PHI","14","6.7","5.5","14.9","11.8","9.2","3.4","-","4.6","-","BYE","-","2.8","10.1","1.7","0.3","8.6","3.1","0","5.9","82.7"
"56","Zamir White","RB","LV","15","1.7","0.2","0","1.5","-","2.9","5.8","0","-0.2","0.5","-","0","BYE","0.8","17.5","14.5","15.6","13.1","4.9","73.9"
"57","Emari Demercado","RB","KC","14","0","2.5","0.2","5.4","12.7","2.7","11.5","8.9","-","BYE","-","1.5","0","-","14","12","1.9","0","5.2","73.3"
"58","Clyde Edwards-Helaire","RB","FA","15","3.9","3.7","12.7","2.3","0.4","2.6","0.5","0.4","-","-","2","0.5","2.4","8.8","20.1","7.8","-","2","4.7","70.1"
"59","Keaton Mitchell","RB","LAC","7","-","-","-","-","BYE","-","1.9","-","20.4","13.6","5.1","10.9","-","7.2","10.8","-","-","-","10","69.9"
"60","Joshua Kelley","RB","FA","17","15.1","3.9","2.7","6.5","-","1.4","13.5","2.1","3.2","1.6","1.3","3.4","4.5","0.6","1.8","-0.2","0.2","0.1","3.6","61.7"
"61","Jamaal Williams","RB","FA","13","7.2","2.9","-","-","-","-","1.4","4.8","3.2","2","-","3","2.6","4.3","3.6","2.3","11.1","12.4","4.7","60.8"
"62","Michael Carter","RB","FA","15","3.8","2.1","1.3","4.1","5.2","0.5","-","0.2","8.4","0","-","7.4","2.5","-","6.7","0","13.7","2.9","3.9","58.8"
"63","Chase Brown","RB","CIN","12","-","0.2","0","0.7","1.2","2.2","BYE","-","-","-","-","0","6.1","19.5","8.1","4.4","4.8","6.3","4.5","53.5"
"64","Elijah Mitchell","RB","NE","11","1","-","7.4","-","-","-0.3","-0.1","0.2","-","2.3","2.4","4.6","1.3","-","-","-","14","14.7","4.3","47.5"
"65","Matt Breida","RB","FA","17","1.6","0.5","10.8","12.8","3.4","1.3","1.9","2.7","2.1","0.3","-0.1","2.6","-","1.6","4.1","1.3","0","0","2.8","46.9"
"66","Cam Akers","RB","SEA","7","8.9","-","-","7.1","3.8","2.5","8.1","9.5","6.8","-","-","-","-","-","-","-","-","-","6.7","46.7"
"67","Royce Freeman","RB","FA","11","-","-","0","0","-","-","6.6","10.4","3.2","-","7.3","13.7","0","0.9","1.6","-","-","2.5","4.2","46.2"
"68","Jordan Mason","RB","MIN","16","-","0","1.1","3.3","12.9","8.7","0","0","-","0","0","0","1","9.6","2","0","0.3","5.8","2.8","44.7"
"69","Darrell Henderson Jr.","RB","FA","4","-","-","-","-","-","-","13.6","11.5","5.5","-","12.9","-","-","-","-","-","-","-","10.9","43.5"
"70","Kendre Miller","RB","NO","8","-","-","4.4","1.8","13","2.2","0","2.9","4.1","-","BYE","-","-","-","-","-","-","14.9","5.4","43.3"
"71","Salvon Ahmed","RB","FA","8","1.1","7.1","-","-","-","12.4","1.3","5.7","3.2","-","12.1","0","-","-","-","-","-","-","5.4","42.9"
"72","Pierre Strong Jr.","RB","GB","17","0","6.1","2.7","4.9","-","0","2.5","9.2","1.2","0","1.5","0","2","0","3.1","2.2","0.9","6.5","2.5","42.8"
"73","Jeff Wilson Jr.","RB","FA","10","-","-","-","-","-","-","1.4","5.7","6.8","-","-","10.3","1.1","0","1.6","3.5","6.4","4.5","4.1","41.3"
"74","Ameer Abdullah","RB","FA","17","0","1.5","3.6","3.4","2.5","0","0","2.9","4.5","1.4","1.4","2.3","-","3.9","6.5","2.2","3.2","1.7","2.4","41"
"75","Dalvin Cook","RB","FA","15","8.9","0.2","5.9","2.8","2.3","2.4","-","0.5","1.8","2.6","1.3","4.1","3.6","1.8","2","0","-","-","2.7","40.2"
"76","Chase Edmonds","RB","WAS","13","0.8","1.2","-","-","-","-","-","4.1","0.4","1.7","2.9","1.1","1.9","7.8","1.3","2.5","10.6","3.4","3.1","39.7"
"77","Kyle Juszczyk","RB","SF","17","0","0","0.3","1.7","12.6","1.9","0","0","BYE","10.6","0","0","0","0","4.6","1.5","5.3","0","2.3","38.5"
"78","Chris Rodriguez Jr.","RB","JAC","11","0.7","0","0","-","-","2.3","3.1","-","0","-","3.8","2.1","2.9","-","3.5","19.5","-","-","3.4","37.9"
"79","Cordarrelle Patterson","RB","FA","13","-","-","-","-","1.7","1.6","5.6","0.7","1.3","4","-","4.3","2.7","0.7","7","5.3","0","2","2.8","36.9"
"80","D'Ernest Johnson","RB","FA","17","-0.4","2.7","3.2","-0.2","0","1.9","0","0.8","-","6","6.4","7.1","1.9","4.8","0.5","0.2","0","-0.1","2","34.8"
"81","Ty Johnson","RB","BUF","9","-","-","-","-","-","-","0","-","0","0.2","14.8","1.9","BYE","4.1","6.8","-","2.2","2.4","3.6","32.4"
"82","Tony Jones Jr.","RB","FA","6","0.5","15.4","9.2","-","-","-","-","-","2.7","1.3","3.1","-","-","-","-","-","-","-","5.4","32.2"
"83","Patrick Taylor Jr.","RB","SF","11","2.2","0.1","5.9","-","2.7","-","-","-","BYE","-","-","2.5","2.9","7.2","2.2","1.3","3","0","2.7","30"
"83","Darrynton Evans","RB","FA","6","-","-","-","-","-","4.4","6.4","13","4.1","0.5","-","1.6","-","-","-","-","-","-","5","30"
"85","Craig Reynolds","RB","FA","15","-","1.5","1.5","0","11.2","6.3","3.5","7.6","-","0","-2","0","0","0","0","0","-","0","2","29.6"
"86","Alec Ingold","RB","LAC","17","5.4","0","0","3.3","0","0","0","1.5","1.1","-","4.6","0","0.7","2.3","0","3.2","2.8","0","1.5","24.9"
"87","Nick Chubb","RB","FA","2","16.7","6.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","11.6","23.1"
"88","Tank Bigsby","RB","PHI","16","5.3","0","7","1","0.8","1.8","0.2","-1.1","-","0.5","2.1","0.6","0","0","-0.2","-","3.2","1.6","1.4","22.8"
"89","Kevin Harris","RB","FA","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8.5","2.1","8.9","1.8","5.3","21.3"
"90","Trey Sermon","RB","FA","12","-","-","3.1","0.7","0","0","-","-","0","0","-","0","0","1.3","8.8","0.3","6.1","-","1.7","20.3"
"91","Ronnie Rivers","RB","LAR","9","0","1.4","0","7.7","0.1","2.3","-","-","-","BYE","-","-","-","-","-","2","1.4","5.2","2.2","20.1"
"92","Melvin Gordon III","RB","FA","4","-","-","7.5","5.4","-","-","-","-","-","-","-","-","-","-","-","-","7","-0.2","4.9","19.7"
"93","Damien Harris","RB","FA","7","3.9","9.3","1.5","2.9","1.3","0.1","-","-","-","-","-","-","-","-","-","0","-","-","2.7","19"
"93","Isaiah Spiller","RB","FA","9","-","0.3","0.7","4.7","-","0.2","-","1.8","-","-","-","-","-","1.9","5","1.5","2.9","-","2.1","19"
"95","Tyler Goodson","RB","FA","6","-","-","-","-","-","-","-","-","-","-","-","-","3.1","0.8","9.9","4","0.3","0","3","18.1"
"96","Raheem Blackshear","RB","FA","11","-","-","-","-","-","3.2","-","5.1","1.5","2.3","0","-","0.6","1.8","0","2","0","0.6","1.6","17.1"
"97","Israel Abanikanda","RB","DAL","7","-","-","-","-","-","-","BYE","-","-","-","2.6","0","-","-0.1","3.9","4.3","5","0.6","2.3","16.3"
"98","Patrick Ricard","RB","NYG","17","0","0","0","2.4","0","1.3","5.1","0","0","0","0","0","BYE","0","0","0","7.4","0","1","16.2"
"99","Boston Scott","RB","FA","12","2","4","-","-","-","2.6","0","1.4","-","-","0.8","1.4","3.9","0.9","0","-1.7","-","0.5","1.3","15.8"
