"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"62","John Bates","TE","WAS","10","0","3.5","0","5.9","6.9","-","-","1.6","1.5","-","0","11.4","-","BYE","0","-","-","-","3.1","30.8"
"63","Teagan Quitoriano","TE","ARI","7","-","-","-","-","-","-","-","-","7.2","-","0","4","0","-","7.8","0","-","11.3","4.3","30.3"
"64","Jody Fortson Jr.","TE","FA","10","7.1","0","0","8","-","-","1.8","-","-","-0.4","7.1","4.6","1.6","-","0","-","-","-","3","29.8"
"65","Donald Parham Jr.","TE","FA","6","-","-","-","-","0","8.3","-","-","-","-","-","-","-","-","6.5","1.8","7.3","5.1","4.8","29"
"66","Eric Tomlinson","TE","FA","9","0","-","-","-","0","2.6","4.1","0","-","0","-","-","-","3.1","11.8","-","-","7.3","3.2","28.9"
"67","James Mitchell","TE","CAR","8","-","-","-","-","-","-","-","2.4","8.8","1.4","-","3.2","BYE","-","3.2","5.1","2.5","1.7","3.5","28.3"
"68","Brevin Jordan","TE","HOU","9","1.5","2.3","-","-","-","BYE","0","3.9","1.5","-","-","-","8.6","-","1.9","4.1","3","-","3","26.8"
"69","Marcedes Lewis","TE","FA","6","-","-","-","-","7.2","-","-","-","2.9","0.9","-","-","2","-","2.4","11.2","-","-","4.4","26.6"
"70","Albert Okwuegbunam Jr.","TE","LV","6","8.3","0","2.2","-","1.5","BYE","-","-","-","-","-","-","-","-","-","-","13.5","0","4.3","25.5"
"71","Josiah Deguara","TE","FA","9","4.8","-","-","0","3.9","1.9","-","1.9","9.1","-","-","-","0","-","-","1.4","1.4","-","2.7","24.4"
"72","Geoff Swaim","TE","FA","12","4.9","-","10.9","-","1.5","-","0","-","-","0","1.3","0","1.4","0","-","0.9","1.4","1.5","2","23.8"
"73","Pharaoh Brown","TE","FA","9","2.7","5.4","6.1","-","-","4.1","0","0","-","3.3","0","-","2.1","-","-","-","-","-","2.6","23.7"
"74","Jack Stoll","TE","CLE","10","-","-","1.4","-","-","3.1","-","0","2.3","2.1","1.7","0","7.1","4","1.6","-","-","-","2.3","23.3"
"75","Tanner Hudson","TE","CIN","6","-","4.2","-","2.8","-","-","0","8.8","-","5.4","-","2","-","-","-","-","-","-","3.9","23.2"
"76","Dan Arnold","TE","FA","11","-","1.8","-","3.6","3","-","3.4","1.8","2.9","1.8","-","-","0","1.5","-","2.7","0","-","2","22.5"
"77","Ko Kieft","TE","TB","15","0","0","0","2.9","0","0","2.8","1.9","1.6","-","BYE","7.5","2.2","2.1","0","0","0","-","1.4","21"
"78","Quintin Morris","TE","JAC","9","-","1.6","4.2","0","4.9","0","-","-","-","-","BYE","1.3","-","-","8.4","0","-","0","2.3","20.4"
"79","Chris Myarick","TE","FA","10","7.1","0","1.6","-","1.4","-","4.1","2","-","0","-","3.3","0","0","-","-","-","-","2","19.5"
"79","Ross Dwelley","TE","FA","6","2.1","10.8","0","0","0","-","-","6.6","-","-","-","-","-","-","-","-","-","-","3.3","19.5"
"81","Anthony Firkser","TE","FA","9","1.6","-","3.2","0","2.1","-","-","-","-","-","-","2.6","4.4","-","0","3","-","2.1","2.1","19"
"82","Giovanni Ricci","TE","FA","11","0","2.6","2.5","0","5.7","-","0","0","1.8","1.2","-","-","-","-","-","-","4.2","0","1.6","18"
"83","Brycen Hopkins","TE","FA","7","-","-","-","-","-","-","-","-","0","2.1","-","2.2","-","1.8","-","8.7","3.1","0","2.6","17.9"
"83","Parker Hesse","TE","FA","12","1.5","1.5","0","3.2","1.9","-","-","1.9","-","0","-","1.9","2.6","-","0","1.8","-","1.6","1.5","17.9"
"85","Tre' McKitty","TE","FA","13","5.4","-","0","1.4","0","0","0","-","-","5.1","-","0","1.8","1.5","-","2","0","0","1.3","17.2"
"86","Armani Rogers","TE","FA","9","3.3","-","0","-","0","0","5.8","2.3","2.4","0","-","-","-","-","-","-","-","0.2","1.6","14"
"87","Grant Calcaterra","TE","PHI","7","-","-","5","0","-","-","BYE","-","-","-","0","0.8","2.9","4.4","0","-","-","-","1.9","13.1"
"88","Andrew Beck","TE","NYJ","9","7.2","-0.1","-","0","0","1.7","0","-","-","BYE","-","-","-","-","0.1","-","3","0","1.3","11.9"
"89","Kyle Rudolph","TE","FA","5","-","-","2.2","-","0","-","1.8","0","-","-","-","-","-","-","-","-","-","7.8","2.4","11.8"
"90","Nick Vannett","TE","LAR","7","-","-","1.5","-","-","-","BYE","1.8","-","-","-","-","0","1.9","2.5","0","-","3.8","1.6","11.5"
