#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
214,25631,Brycen Tremayne,WR,WAS,2,-,-,-,-,0.8,-,-,-,-,-,BYE,-,-,-,-,-,0,-,0.4,0.8
215,25359,Jalen Cropper,WR,FA,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0
215,19052,Tom Kennedy,WR,DET,4,0,0,-,-,BYE,-,-,-,-,-,-,-,-,-,-,0,0,-,0,0
215,00-0036657,Seth Williams,WR,LV,2,-,-,-,-,-,-,-,-,-,BYE,0,-,-,0,-,-,-,-,0,0
215,,Kazmeir Allen,WR,FA,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0
215,25205,Maurice Alexander,WR,CHI,2,-,-,-,-,-,-,BYE,-,-,-,-,-,0,0,-,-,-,-,0,0
215,25495,Jared Wayne,WR,HOU,3,-,-,-,-,-,-,-,-,-,-,-,-,0,BYE,-,0,0,-,0,0
215,18703,Quinton Bell,WR,FA,16,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
215,15495,Laquon Treadwell,WR,FA,1,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,0
215,00-0035215,Deonte Harty,WR,FA,5,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
215,,Joshua Cephus,WR,FA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0
215,17289,Braxton Berrios,WR,MIA,8,0,0,0,0,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,0
215,23351,Brandon Smith,WR,PIT,1,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,0,-,-,-,0,0
215,00-0033251,Zach Pascal,WR,FA,14,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,-,-,0,0,0
215,15654,Chris Moore,WR,FA,5,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
215,00-0032543,Alex Erickson,WR,FA,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
215,24815,Kaden Davis,WR,FA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
215,24570,Dareke Young,WR,SEA,12,0,-,0,0,-,-,0,0,0,BYE,-,0,-,0,0,0,0,0,0,0
215,00-0037216,Justyn Ross,WR,KC,2,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
215,00-0035414,Jalen Guyton,WR,FA,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
215,23905,Skyy Moore,WR,KC,6,0,0,0,0,0,-,0,-,-,BYE,-,-,-,-,-,-,-,-,0,0
215,00-0036219,Marquez Callaway,WR,FA,2,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
215,00-0036412,KJ Hamler,WR,FA,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
215,23957,Xavier Weaver,WR,ARI,2,-,-,-,-,-,0,-,-,-,-,BYE,-,-,-,-,-,-,0,0,0
215,00-0034279,Equanimeous St. Brown,WR,FA,3,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,0,0
215,00-0035164,Cody Thompson,WR,FA,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
215,26160,Roman Wilson,WR,PIT,1,-,-,-,-,-,0,-,-,BYE,-,-,-,-,-,-,-,-,-,0,0
215,00-0035934,Trishton Jackson,WR,FA,2,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
215,24083,Justin Shorter,WR,LV,7,-,-,-,-,-,-,0,0,0,BYE,0,0,0,-,-,-,0,-,0,0
215,00-0038667,Elijah Cooks,WR,NO,3,-,-,-,-,-,-,-,-,0,-,-,BYE,0,-,0,-,-,-,0,0
215,00-0038092,Erik Ezukanma,WR,MIA,2,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0
215,,Brenden Rice,WR,LV,1,-,-,-,-,-,-,0,-,-,BYE,-,-,-,-,-,-,-,-,0,0
