#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,22978,Sam LaPorta,TE,DET,17,8.9,11.3,22.4,9.6,19.7,7.6,11.2,19.7,BYE,8,6.8,17.7,29,4.7,28.6,4.8,15.4,13.9,14.1,239.3
2,16411,Evan Engram,TE,JAX,17,9.9,11.7,13.7,12.9,6.8,11.1,9.5,16.8,BYE,5.2,6.9,9.9,23.2,32.5,6.8,17.5,12,23.9,13.5,230.3
3,11594,Travis Kelce,TE,KC,15,-,12.6,19.9,12,22.7,21.4,35.9,11.8,4.4,BYE,15.4,15.1,12.1,14.3,7.8,9.4,4.6,-,14.6,219.4
4,18290,T.J. Hockenson,TE,MIN,15,11.5,25.6,13.8,4.4,10.1,11,19.6,20.8,13.9,30.4,9.5,16,BYE,10.3,12.3,9.8,-,-,14.6,219
5,16499,George Kittle,TE,SF,16,4.9,6,16,1.9,27.7,1.1,13,23.9,BYE,20.6,22.9,4.9,10.8,16.6,7.4,19.6,5.9,-,12.7,203.2
6,16399,David Njoku,TE,CLE,16,4.4,6.8,6,10.6,-,5.4,10.4,17.7,12.6,11.8,12.6,11.9,3.7,27.1,26.4,16.4,17.4,-,12.6,201.2
7,22936,Trey McBride,TE,ARI,17,4.3,5.2,1.2,1.5,3.7,10.2,5.9,25.5,5.2,21.1,9.3,13,22.9,BYE,20.2,9.1,10.8,12.4,10.7,181.5
8,19229,Cole Kmet,TE,CHI,17,9.4,7.8,4.2,27.6,15.2,2.9,0,17.9,23.5,9.6,5,11.3,BYE,11.6,13.3,14.7,0,7.1,10.7,181.1
9,22718,Jake Ferguson,TE,DAL,17,3.1,10.1,9.8,14.7,5.8,2.5,BYE,14.7,22.1,12.6,6.2,4.5,19.7,12.2,10.4,8.5,7.3,12.9,10.4,177.1
10,17349,Dalton Schultz,TE,HOU,15,2.4,7.4,1.9,13.2,19.5,16.1,BYE,2.5,27,11.1,11.2,1.2,-,-,9.8,14.1,3.9,9.2,10,150.5
11,25247,Dalton Kincaid,TE,BUF,16,6.6,9.3,2.3,6.7,3.9,-,15.5,17.5,16.1,16.1,10.6,8.8,BYE,7.1,0,1.7,12.7,15.4,9.4,150.3
