Player,PLAYER_ID,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Raymond Felton,101109,DEN,75,1164,269,625,125,11,116,221,0,0,27,1,1614.0,21.52
Elton Brand,1882,PHI,81,1217,676,120,92,106,0,101,0,0,24,0,1723.5,21.28
David West,2561,NOH,70,1322,529,164,67,62,2,142,0,0,16,0,1487.0,21.24
Steve Nash,959,PHX,75,1106,260,855,48,4,81,265,0,0,41,0,1588.5,21.18
Andray Blatche,101154,WAS,64,1076,526,144,98,51,4,172,0,0,17,0,1353.0,21.14
Chris Bosh,2547,MIA,77,1438,641,144,59,49,6,138,0,0,28,0,1613.0,20.95
Carlos Boozer,2430,CHI,59,1033,565,145,45,18,0,149,0,0,30,0,1233.5,20.91
Dorell Wright,2748,GSW,82,1344,431,242,124,63,194,133,0,0,7,0,1690.0,20.61
Lamar Odom,1885,LAL,82,1180,710,249,47,61,68,139,0,0,28,0,1688.0,20.59
Tyreke Evans,201936,SAC,57,1012,275,319,85,30,43,184,0,0,6,0,1173.5,20.59
Luis Scola,2449,HOU,74,1352,606,185,48,44,0,147,0,0,19,0,1523.0,20.58
Stephen Curry,201939,GSW,74,1373,286,432,109,20,151,226,0,0,5,0,1517.0,20.5
Danny Granger,101122,IND,79,1622,425,203,89,62,157,206,0,0,5,0,1618.5,20.49
Paul Pierce,1718,BOS,80,1511,430,260,80,51,111,171,0,0,7,1,1601.0,20.01
Andrew Bynum,101115,LAL,54,612,508,73,19,106,0,74,0,0,17,0,1080.0,20.0
Eric Gordon,201569,LAC,56,1247,164,244,71,18,106,151,0,0,1,0,1112.5,19.87
Manu Ginobili,1938,SAS,80,1393,295,393,123,28,154,174,0,0,0,0,1589.5,19.87
Antawn Jamison,1712,CLE,56,1010,375,93,50,30,91,77,0,0,10,0,1111.5,19.85
Kyle Lowry,200768,HOU,75,1011,309,500,102,23,129,158,0,0,10,1,1483.0,19.77
Brook Lopez,201572,NJN,82,1673,488,129,47,120,0,176,0,0,9,0,1620.5,19.76
Nene,2403,DEN,75,1091,571,149,84,73,1,134,0,0,14,0,1460.0,19.47
Jason Kidd,467,DAL,80,630,351,655,134,29,133,179,0,0,9,2,1547.5,19.34
Luol Deng,2736,CHI,82,1430,476,230,78,48,115,156,1,0,8,0,1583.5,19.31
Jrue Holiday,201950,PHI,82,1145,332,531,120,29,81,218,0,0,15,1,1573.0,19.18
DeMarcus Cousins,202326,SAC,81,1143,699,204,85,68,3,268,0,0,26,0,1540.0,19.01
Marc Gasol,201188,MEM,81,951,569,200,74,136,3,146,0,0,14,0,1534.0,18.94
Brandon Jennings,201943,MIL,63,1019,234,305,95,21,98,146,0,0,6,1,1191.5,18.91
Anderson Varejao,2760,CLE,31,282,301,45,27,38,0,40,0,0,7,0,584.0,18.84
Mike Conley,201144,MEM,81,1107,247,528,144,18,80,176,0,0,7,0,1523.5,18.81
Kevin Martin,2755,HOU,80,1876,258,198,80,15,176,184,2,0,0,0,1490.0,18.62
Kris Humphries,2743,NJN,74,741,771,84,33,80,0,103,0,0,29,0,1377.5,18.61
Emeka Okafor,2731,NOH,72,745,684,42,40,127,0,119,0,0,23,0,1336.5,18.56
Tony Parker,2225,SAS,78,1368,238,513,90,3,25,200,0,0,9,0,1442.5,18.49
JaVale McGee,201580,WAS,79,798,634,38,41,193,0,102,0,0,21,1,1460.0,18.48
Stephen Jackson,1536,CHA,67,1240,304,241,80,28,121,209,0,0,3,1,1237.5,18.47
Andrea Bargnani,200745,TOR,66,1414,343,119,34,46,77,152,1,0,2,0,1218.5,18.46
Wilson Chandler,201163,DEN,72,1100,408,120,48,94,112,104,0,0,6,0,1320.0,18.33
Marcus Camby,948,POR,59,277,606,121,40,92,0,62,0,0,8,0,1075.5,18.23
Roy Hibbert,201579,IND,81,1025,610,166,33,142,0,185,0,0,21,0,1474.5,18.2
Michael Beasley,201563,MIN,73,1401,409,158,54,52,60,195,1,0,8,0,1323.5,18.13
Joe Johnson,2207,ATL,72,1312,291,338,47,7,89,146,0,0,2,0,1293.5,17.97
Baron Davis,1884,CLE,58,760,156,391,78,28,81,146,0,0,7,0,1040.5,17.94
Andre Miller,1889,POR,81,1029,302,566,114,12,4,197,0,0,11,0,1450.5,17.91
Jose Calderon,101181,TOR,68,669,202,605,81,7,57,148,0,0,12,0,1210.0,17.79
Channing Frye,101112,PHX,77,976,513,96,46,79,171,73,0,0,8,0,1367.5,17.76
Serge Ibaka,201586,OKC,82,808,622,22,31,198,0,71,0,0,12,0,1447.0,17.65
JJ Hickson,201581,CLE,80,1105,695,91,48,54,0,173,0,0,28,0,1397.5,17.47
Chauncey Billups,1497,NYK,72,1208,190,387,71,14,146,177,0,0,2,0,1249.0,17.35
Andrei Kirilenko,1905,UTA,64,750,327,192,81,74,36,117,0,0,4,0,1109.0,17.33
Chuck Hayes,101236,HOU,74,582,599,202,79,49,0,86,0,0,11,1,1275.0,17.23
Chris Kaman,2549,LAC,32,397,225,46,16,48,0,58,0,0,6,0,545.5,17.05
Tyson Chandler,2199,DAL,74,748,692,32,36,80,0,88,0,0,18,0,1260.0,17.03
Devin Harris,2734,UTA,71,1079,169,503,70,7,58,207,0,0,9,0,1196.5,16.85
Rodney Stuckey,201155,DET,70,1082,216,361,76,10,26,155,0,0,7,0,1155.0,16.5
Danilo Gallinari,201568,DEN,62,970,305,104,51,27,103,83,0,0,2,0,1020.5,16.46
Jason Richardson,2202,ORL,80,1249,331,147,93,13,189,95,0,0,1,0,1315.0,16.44
Beno Udrih,2757,SAC,79,1086,265,386,94,9,65,141,0,0,4,0,1295.5,16.4
Marcin Gortat,101162,PHX,80,817,631,70,36,91,1,81,0,0,24,0,1307.0,16.34
Ray Allen,951,BOS,80,1321,274,219,77,16,168,117,0,0,0,0,1306.5,16.33
Mo Williams,2590,LAC,58,812,153,380,53,10,79,171,0,0,12,0,945.5,16.3
D.J. Augustin,201571,CHA,82,1178,225,498,54,3,111,155,0,0,7,0,1333.5,16.26
Boris Diaw,2564,CHA,82,924,414,337,74,46,78,166,0,0,5,1,1333.0,16.26
Greg Monroe,202328,DET,80,751,601,105,93,45,0,81,0,0,21,0,1297.5,16.22
Trevor Ariza,2772,NOH,75,826,408,162,120,31,82,118,0,0,3,0,1211.0,16.15
Reggie Evans,2501,TOR,30,132,345,38,29,6,0,39,0,0,2,0,482.0,16.07
Shawn Marion,1890,DAL,80,999,551,110,68,50,5,130,0,0,12,0,1281.0,16.01
Hedo Turkoglu,2045,ORL,81,877,356,343,72,34,127,132,0,0,6,1,1289.0,15.91
Jameer Nelson,2749,ORL,76,997,226,456,75,3,119,194,0,0,4,0,1206.0,15.87
John Salmons,2422,MIL,73,1024,266,252,72,28,83,137,0,0,1,0,1135.5,15.55
Carlos Delfino,2568,MIL,49,565,200,112,76,8,105,57,0,0,2,0,760.0,15.51
Samuel Dalembert,2223,SAC,80,644,657,67,36,116,0,132,0,0,16,0,1234.0,15.43
Amir Johnson,101161,TOR,72,688,461,81,53,88,0,69,0,0,11,0,1110.0,15.42
DeMar DeRozan,201942,TOR,82,1410,315,148,85,31,5,144,0,0,1,0,1259.5,15.36
Luke Ridnour,2557,MIN,71,840,199,384,89,10,81,158,0,0,3,0,1086.5,15.3
Jason Terry,1891,DAL,82,1293,153,334,93,13,127,167,0,0,1,0,1243.0,15.16
Drew Gooden,2400,MIL,35,396,238,47,21,18,3,46,0,0,10,1,528.5,15.1
Wesley Matthews,202083,POR,82,1300,258,164,102,9,154,138,0,0,1,0,1234.0,15.05
Tayshaun Prince,2419,DET,78,1098,329,215,30,41,34,82,0,0,4,0,1174.0,15.05
Nicolas Batum,201587,POR,80,990,361,123,68,49,118,83,0,0,6,0,1195.0,14.94
Darren Collison,201954,IND,79,1039,225,403,87,14,41,194,0,0,4,0,1180.0,14.94
Kenyon Martin,2030,DEN,48,414,297,109,43,35,2,59,0,0,3,0,714.0,14.88
Landry Fields,202361,NYK,82,797,521,155,80,17,86,107,0,0,11,0,1215.5,14.82
Rashard Lewis,1740,WAS,57,668,290,92,52,30,87,87,0,0,6,0,842.5,14.78
Vince Carter,1713,PHX,73,1022,275,146,67,20,116,90,0,0,2,0,1076.0,14.74
JR Smith,2747,DEN,79,969,322,175,92,16,124,100,0,0,2,0,1161.5,14.7
DeAndre Jordan,201599,LAC,80,566,575,42,41,142,0,101,0,0,8,0,1173.0,14.66
Darko Milicic,2545,MIN,69,606,360,104,54,140,0,151,0,0,5,0,1009.0,14.62
Ramon Sessions,201196,CLE,81,1075,255,419,60,8,3,178,0,0,7,0,1178.0,14.54
Caron Butler,2406,DAL,29,436,118,46,28,8,28,49,0,0,1,0,420.0,14.48
Tyrus Thomas,200748,CHA,41,419,224,29,30,66,0,65,0,0,4,0,593.5,14.48
Grant Hill,255,PHX,80,1056,338,200,64,35,45,134,0,0,4,0,1156.5,14.46
Jeff Green,201145,BOS,75,998,360,108,53,37,64,99,0,0,4,0,1084.0,14.45
Thaddeus Young,201152,PHI,82,1045,434,82,90,26,6,99,0,0,2,0,1176.5,14.35
Ed Davis,202334,TOR,65,501,462,40,39,67,0,48,0,0,13,0,929.5,14.3
DeJuan Blair,201971,SAS,81,674,565,77,95,42,0,113,0,0,17,0,1157.0,14.28
Glen Davis,201175,BOS,78,915,425,92,78,30,2,85,0,0,5,0,1111.5,14.25
Ryan Anderson,201583,ORL,64,681,355,52,30,38,134,49,0,0,6,0,907.5,14.18
Ty Lawson,201951,DEN,80,933,209,377,80,4,69,137,0,0,4,0,1122.0,14.03
Arron Afflalo,201167,DEN,69,867,251,168,34,31,105,71,0,0,3,0,967.0,14.01
Nick Young,201156,WAS,64,1115,174,75,45,17,105,90,1,0,0,0,894.0,13.97
Shane Battier,2203,MEM,82,624,373,185,69,81,102,79,0,0,3,0,1145.0,13.96
Mike Dunleavy,2399,IND,61,682,276,105,40,30,102,69,0,0,1,0,845.0,13.85
CJ Miles,101139,UTA,78,1000,255,135,74,38,109,93,1,0,0,0,1076.5,13.8
Ersan Ilyasova,101141,MIL,60,571,365,56,51,24,36,63,0,0,8,0,819.5,13.66
James Harden,201935,OKC,82,998,255,176,92,24,113,106,0,0,0,0,1112.5,13.57
Toney Douglas,201962,NYK,81,856,244,244,89,4,143,89,0,0,3,0,1087.5,13.43
Udonis Haslem,2617,MIA,13,104,106,6,7,3,0,14,0,0,4,0,174.0,13.38
Andris Biedrins,2740,GSW,59,294,426,60,52,52,0,57,0,0,3,0,787.0,13.34
Daniel Gibson,200789,CLE,67,780,177,201,48,21,118,80,0,0,0,0,885.0,13.21
Marcus Thornton,201977,SAC,73,933,258,135,64,9,88,93,1,0,2,0,959.5,13.14
Lou Williams,101150,PHI,75,1027,149,252,47,17,88,102,0,0,0,0,984.5,13.13
Yao Ming,2397,HOU,5,51,27,4,0,8,0,7,0,0,0,0,65.5,13.1
Kirk Hinrich,2550,ATL,72,737,182,288,75,17,75,121,0,0,3,0,942.0,13.08
Jordan Farmar,200770,NJN,73,701,173,368,62,6,109,139,0,0,8,0,951.0,13.03
Metta World Peace,1897,LAL,82,697,267,175,124,36,83,90,0,0,0,0,1062.0,12.95
Richard Hamilton,1888,DET,55,777,126,171,39,4,55,88,0,0,0,0,711.0,12.93
Gilbert Arenas,2240,ORL,70,755,189,274,74,21,97,177,0,0,3,0,905.0,12.93
Josh McRoberts,201177,IND,72,533,382,150,47,57,23,93,0,0,3,0,928.0,12.89
Taj Gibson,201959,CHI,80,569,458,58,39,106,1,71,0,0,6,0,1026.0,12.82
Jared Dudley,201162,PHX,82,867,318,108,87,20,105,77,0,0,2,0,1051.0,12.82
Brandon Bass,101138,ORL,76,854,424,57,27,52,0,97,0,0,3,0,972.0,12.79
Brandon Roy,200750,POR,47,573,121,129,37,12,38,55,0,0,1,0,599.5,12.76
Jamal Crawford,2037,ATL,76,1077,130,241,57,14,119,145,0,0,0,0,966.0,12.71
Tracy McGrady,1503,DET,72,574,251,252,66,34,30,102,0,0,3,0,906.0,12.58
Marvin Williams,101107,ATL,65,676,313,88,34,23,37,62,0,0,3,0,812.5,12.5
Kwame Brown,2198,CHA,66,524,450,43,26,39,0,69,0,0,8,0,824.0,12.48
George Hill,201588,SAS,76,884,199,193,66,21,77,99,0,0,0,0,947.5,12.47
Ben Wallace,1112,DET,54,154,350,72,54,54,1,44,0,0,1,0,672.5,12.45
Kendrick Perkins,2570,OKC,29,174,232,26,9,26,0,56,0,0,1,0,360.0,12.41
Jason Thompson,201574,SAC,75,663,454,88,28,44,0,99,0,0,9,0,927.5,12.37
Charlie Villanueva,101111,DET,76,840,295,48,42,42,125,66,0,0,4,0,931.5,12.26
Spencer Hawes,201150,PHI,81,584,465,121,29,71,9,97,0,0,7,0,992.5,12.25
Tony Allen,2754,MEM,72,643,193,104,129,44,4,86,0,0,1,0,881.5,12.24
O.J. Mayo,201564,MEM,71,803,170,145,73,26,96,99,0,0,0,0,863.5,12.16
Richard Jefferson,2210,SAS,81,891,310,107,38,34,135,93,0,0,1,0,982.0,12.12
Carl Landry,201171,NOH,76,903,347,63,40,32,0,109,0,0,8,0,904.5,11.9
Al Harrington,1733,DEN,73,765,332,101,39,10,117,106,0,0,1,0,867.0,11.88
Anthony Parker,1515,CLE,72,600,218,218,67,10,86,80,0,0,0,0,853.0,11.85
Shaquille O'Neal,406,BOS,37,341,178,26,16,42,0,56,0,0,3,0,437.5,11.82
Tyler Hansbrough,201946,IND,70,767,366,41,37,15,0,76,0,0,7,0,825.5,11.79
James Johnson,201949,TOR,38,271,142,89,33,37,8,64,0,0,0,0,446.5,11.75
Francisco Garcia,101128,SAC,58,560,133,71,51,49,81,45,0,0,1,0,680.5,11.73
Wesley Johnson,202325,MIN,79,709,240,148,58,54,103,95,0,0,0,0,923.0,11.68
Anthony Morrow,201627,NJN,58,764,172,68,19,7,110,54,0,0,0,0,675.0,11.64
Jordan Crawford,202348,WAS,42,490,105,117,39,3,33,83,0,0,2,1,488.5,11.63
Leandro Barbosa,2571,TOR,58,769,99,119,50,6,72,84,0,0,0,0,666.5,11.49
Linas Kleiza,101132,TOR,39,436,177,40,19,7,39,65,0,0,4,0,445.5,11.42
Chase Budinger,201978,HOU,78,765,281,127,41,18,89,67,0,0,0,0,886.0,11.36
Omri Casspi,201956,SAC,71,610,307,74,54,13,92,68,0,0,4,0,802.0,11.3
Darrell Arthur,201589,MEM,80,729,342,53,52,63,0,88,0,0,2,0,903.5,11.29
Thabo Sefolosha,200757,OKC,79,401,346,111,97,38,28,55,0,0,2,0,888.5,11.25
Mike Bibby,1710,MIA,80,688,195,265,50,9,153,101,0,0,0,0,897.5,11.22
Luc Mbah a Moute,201601,MIL,79,529,420,68,72,28,0,77,0,0,8,0,883.5,11.18
Chris Andersen,2365,DEN,45,250,219,20,23,58,0,25,0,0,2,0,503.0,11.18
Rudy Fernandez,201164,POR,78,668,172,193,87,14,116,88,0,0,0,0,871.0,11.17
Sasha Vujacic,2756,NJN,67,656,186,132,54,5,97,66,0,0,1,0,747.5,11.16
Kurt Thomas,703,CHI,52,211,301,60,32,42,1,42,0,0,0,0,573.0,11.02
Travis Outlaw,2566,NJN,82,756,325,84,34,36,76,71,0,0,0,0,894.0,10.9
Aaron Brooks,201166,PHX,59,634,78,233,34,3,70,99,0,0,2,0,640.0,10.85
Gerald Henderson,201945,CHA,68,653,207,101,50,32,7,64,0,0,0,0,738.0,10.85
Shawne Williams,200761,NYK,64,454,239,47,39,51,85,46,0,0,1,0,690.5,10.79
Derrick Favors,202324,UTA,78,533,412,39,29,68,0,77,0,0,4,0,838.5,10.75
Josh Howard,2572,WAS,18,152,74,24,13,5,7,20,0,0,0,0,193.5,10.75
Paul George,202331,IND,61,476,224,65,62,26,41,70,0,0,0,0,653.5,10.71
Brandon Rush,201575,IND,67,607,217,62,41,35,93,69,0,0,0,0,712.0,10.63
Ronnie Brewer,200758,CHI,81,503,262,140,106,22,6,55,0,0,0,0,857.5,10.59
Ben Gordon,2732,DET,82,921,195,171,48,16,107,141,0,0,0,0,867.0,10.57
Matt Barnes,2440,LAL,53,356,228,71,39,22,34,58,0,0,2,0,560.0,10.57
Jodie Meeks,201975,PHI,74,774,171,78,63,4,138,60,0,0,0,0,779.0,10.53
Anthony Tolliver,201229,MIN,65,434,295,82,28,28,47,49,0,0,3,0,683.5,10.52
Jerryd Bayless,201573,TOR,71,651,165,266,38,5,49,127,0,0,2,0,742.0,10.45
Randy Foye,200751,LAC,63,616,103,170,47,21,71,95,0,0,0,0,657.5,10.44
Austin Daye,201948,DET,72,537,274,78,39,39,69,59,0,0,0,0,752.0,10.44
Eric Bledsoe,202339,LAC,81,543,223,289,92,26,32,194,0,0,1,0,842.5,10.4
Brad Miller,1802,HOU,60,382,222,145,28,21,40,54,0,0,1,0,623.0,10.38
Antonio McDyess,686,SAS,73,390,395,84,36,39,0,72,0,0,5,0,757.0,10.37
Evan Turner,202323,PHI,78,565,306,159,49,14,14,80,0,0,2,0,802.5,10.29
Jeff Foster,1902,IND,56,187,350,46,24,31,0,26,0,0,0,0,573.5,10.24
Martell Webster,101110,MIN,46,453,147,53,28,9,55,58,0,0,0,0,470.0,10.22
Ryan Gomes,101155,LAC,76,547,254,118,62,12,72,55,0,0,1,0,775.5,10.2
Nazr Mohammed,1737,OKC,75,535,368,23,30,56,0,70,0,0,3,0,763.5,10.18
J.J. Barea,200826,DAL,81,769,159,317,30,1,66,136,0,0,3,0,822.5,10.15
Chris Wilcox,2404,DET,57,424,271,43,29,17,0,43,0,0,3,0,578.0,10.14
Corey Brewer,201147,DAL,69,552,175,89,100,16,30,87,0,0,0,0,700.0,10.14
Derek Fisher,965,LAL,82,558,152,224,99,8,63,70,0,0,0,0,830.5,10.13
Matt Bonner,2588,SAS,66,481,239,60,26,21,105,27,0,0,1,0,660.0,10.0
Corey Maggette,1894,MIL,67,805,241,84,21,5,28,127,0,0,1,0,667.5,9.96
Raja Bell,1952,UTA,68,541,176,118,56,14,68,63,0,0,0,0,675.5,9.93
Nenad Krstic,2420,BOS,71,575,335,27,26,25,0,56,0,0,3,0,698.5,9.84
Jarrett Jack,101127,NOH,83,735,173,242,54,6,33,110,0,0,0,0,809.0,9.75
Anthony Randolph,201576,MIN,40,305,160,33,22,24,1,53,0,0,5,0,390.0,9.75
JJ Redick,200755,ORL,59,593,113,102,29,3,87,53,0,0,0,0,566.0,9.59
Reggie Williams,202130,GSW,80,738,216,121,28,3,102,57,0,0,0,0,762.0,9.53
Brendan Haywood,2217,DAL,72,320,376,19,16,74,0,51,0,0,2,0,686.0,9.53
Ronny Turiaf,101142,NYK,64,267,207,92,35,73,0,41,0,0,2,0,609.5,9.52
Mario Chalmers,201596,MIA,70,447,146,177,76,7,83,91,0,0,0,0,663.0,9.47
Courtney Lee,201584,HOU,81,672,209,100,58,18,71,68,0,0,0,0,764.5,9.44
Patrick Patterson,202335,HOU,52,328,200,41,17,37,0,31,0,0,4,0,486.0,9.35
Marco Belinelli,201158,NOH,80,836,151,92,38,6,134,77,0,0,0,0,739.0,9.24
Goran Dragic,201609,HOU,70,523,142,204,50,10,56,117,0,0,5,1,645.5,9.22
Mike Miller,2034,MIA,41,228,184,51,20,2,43,41,0,0,3,0,376.5,9.18
Gary Neal,202390,SAS,80,783,196,96,27,4,129,78,0,0,0,0,732.0,9.15
Rodrigue Beaubois,201958,DAL,28,236,52,64,20,8,25,47,0,0,0,0,255.5,9.12
Othyus Jeffers,201785,WAS,17,93,67,20,17,0,1,14,0,0,1,0,155.0,9.12
Christian Eyenga,201963,CLE,44,303,123,35,34,28,25,47,0,0,0,0,399.0,9.07
Dante Cunningham,201967,CHA,78,482,277,43,54,43,1,51,0,0,3,0,707.5,9.07
Nick Collison,2555,OKC,71,329,316,69,42,31,0,55,0,0,1,0,641.5,9.04
Samardo Samuels,202396,CLE,37,288,158,17,15,18,0,53,0,0,2,0,334.0,9.03
Shannon Brown,200769,LAL,82,712,157,96,67,16,74,75,0,0,0,0,737.0,8.99
Will Bynum,101198,DET,61,482,74,195,52,4,16,83,0,0,0,0,547.0,8.97
Keyon Dooling,2039,MIL,80,571,117,243,54,4,81,91,0,0,2,0,713.0,8.91
Sonny Weems,201603,TOR,59,545,153,104,34,2,17,86,0,0,0,0,524.0,8.88
Kyle Korver,2594,CHI,82,681,150,124,35,20,120,60,0,0,0,0,724.5,8.84
Hakim Warrick,101124,PHX,80,669,296,69,32,9,1,79,0,0,3,0,706.0,8.82
T.J. Ford,2551,IND,41,223,81,141,35,8,6,63,0,0,0,0,359.5,8.77
Trevor Booker,202344,WAS,65,346,251,35,29,42,0,38,0,0,5,0,568.0,8.74
Ekpe Udoh,202327,GSW,58,236,181,40,22,86,0,48,0,0,0,0,507.0,8.74
Peja Stojakovic,978,DAL,33,280,75,29,13,2,57,17,0,0,0,0,285.5,8.65
Earl Watson,2248,UTA,80,343,182,278,61,17,36,116,0,0,1,0,690.5,8.63
Sam Young,201970,MEM,78,572,187,71,68,23,17,61,0,0,0,0,673.5,8.63
Vladimir Radmanovic,2209,GSW,74,374,212,79,44,44,70,57,0,0,0,0,632.0,8.54
Delonte West,2753,BOS,24,135,37,64,20,10,12,30,0,0,0,0,204.5,8.52
Jordan Hill,201941,HOU,72,406,306,29,14,52,0,62,0,0,2,0,610.0,8.47
Shaun Livingston,2733,CHA,73,479,149,164,47,29,1,88,0,0,0,0,617.0,8.45
Jermaine O'Neal,979,BOS,24,129,88,12,2,30,0,27,0,0,1,0,202.5,8.44
Zydrunas Ilgauskas,980,MIA,72,360,287,26,23,58,0,52,0,0,3,0,606.0,8.42
Shelden Williams,200749,NYK,59,264,273,32,23,26,0,43,0,0,0,0,492.0,8.34
Yi Jianlian,201146,WAS,63,355,248,25,27,32,3,51,0,0,3,0,522.0,8.29
Sebastian Telfair,2742,MIN,37,266,54,111,25,3,28,64,0,0,0,0,304.0,8.22
Mickael Pietrus,2554,PHX,57,410,126,33,29,21,85,39,0,0,0,0,467.5,8.2
Willie Green,2584,NOH,77,672,161,74,36,13,54,67,0,0,0,0,629.0,8.17
Marquis Daniels,2605,BOS,49,271,113,64,39,22,4,38,0,0,0,0,398.5,8.13
Alonzo Gee,202087,CLE,56,331,182,38,40,18,17,55,0,0,0,0,455.0,8.12
Lou Amundson,200811,GSW,46,200,185,17,14,33,0,24,0,0,0,0,372.0,8.09
Chris Douglas-Roberts,201604,MIL,44,323,88,50,29,13,15,35,0,0,0,0,356.0,8.09
Al Thornton,201154,GSW,71,524,213,62,35,12,4,64,0,0,0,0,569.0,8.01
Al-Farouq Aminu,202329,LAC,81,457,267,60,59,25,45,103,0,0,0,0,643.0,7.94
Larry Sanders,202336,MIL,60,260,178,16,22,72,0,38,0,0,1,0,475.0,7.92
Jamario Moon,200081,LAC,59,255,165,52,28,33,38,22,0,0,0,0,463.5,7.86
Earl Boykins,1863,MIL,57,408,55,141,38,3,27,52,0,0,0,0,443.5,7.78
Robin Lopez,201577,PHX,67,432,216,8,18,45,0,48,0,0,2,0,520.0,7.76
Zaza Pachulia,2585,ATL,79,349,333,58,34,22,0,69,0,0,4,0,612.5,7.75
Manny Harris,202412,CLE,54,321,140,85,31,7,34,63,0,0,1,0,416.5,7.71
Joey Dorsey,201595,TOR,43,135,190,27,24,17,0,39,0,0,4,0,331.5,7.71
DJ White,201591,CHA,47,268,158,19,12,20,0,14,0,0,0,0,361.0,7.68
Damion James,202345,NJN,25,110,85,20,16,12,0,25,0,0,0,0,191.0,7.64
Andres Nocioni,2804,PHI,54,327,169,45,14,15,42,47,0,0,2,0,411.5,7.62
James Posey,1899,IND,49,240,147,34,24,6,67,24,0,0,0,0,370.5,7.56
Dominic McGuire,201187,CHA,52,174,199,43,10,33,0,25,0,0,1,0,391.0,7.52
AJ Price,201985,IND,50,323,72,111,29,1,41,53,0,0,0,0,372.0,7.44
Josh Childress,2735,PHX,54,272,155,42,33,23,1,44,0,0,0,0,401.5,7.44
Mario West,201238,NJN,6,22,11,10,7,0,1,2,0,0,0,0,44.5,7.42
Nate Robinson,101126,OKC,59,401,90,111,29,4,65,68,0,0,1,0,433.0,7.34
Eddie House,2067,MIA,56,362,92,62,32,3,68,29,0,0,0,0,410.0,7.32
Jeff Teague,201952,ATL,70,361,102,138,45,25,18,64,0,0,0,0,505.5,7.22
Maurice Evans,2230,WAS,73,461,156,45,34,14,55,33,0,0,0,0,522.0,7.15
