Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Matthew Dellavedova,MIL,38,164,64,145,14,0,29,49,0,0,0,0,284.5,7.49
JaVale McGee,GSW,65,310,169,33,21,57,0,27,0,0,0,0,486.0,7.48
Boban Marjanovic,LAC,39,235,144,22,10,11,0,36,0,0,1,0,290.5,7.45
Davis Bertans,SAS,77,456,153,74,26,28,94,36,0,0,0,0,574.0,7.45
Jon Leuer,DET,8,43,32,5,1,3,0,7,0,0,0,0,59.5,7.44
C.J. Williams,LAC,38,209,56,43,31,13,22,20,0,0,0,0,282.5,7.43
Antonio Blakeney,CHI,19,151,33,20,7,1,15,11,0,0,0,0,141.0,7.42
Langston Galloway,DET,58,360,92,58,35,5,75,18,0,0,0,0,429.5,7.41
Justin Anderson,PHI,38,236,93,25,15,7,34,16,0,0,0,0,281.0,7.39
Jahlil Okafor,BKN,28,176,85,12,3,18,1,21,0,0,0,0,206.5,7.38
Shaun Livingston,GSW,71,394,131,140,35,21,0,58,0,0,0,0,522.0,7.35
Iman Shumpert,SAC,14,62,41,17,9,4,7,16,0,0,0,0,102.5,7.32
Jordan Crawford,NOP,5,33,4,13,1,1,8,5,0,0,0,0,36.5,7.3
Jawun Evans,LAC,48,231,84,100,36,6,15,44,0,0,0,0,347.0,7.23
Zach Collins,POR,66,292,221,52,17,31,35,58,0,0,0,0,474.5,7.19
Torrey Craig,DEN,39,163,127,25,12,15,17,20,0,0,0,0,276.0,7.08
Nick Young,GSW,80,581,125,36,38,7,123,39,0,0,0,0,564.0,7.05
Tyler Cavanaugh,ATL,39,183,127,27,9,4,32,13,0,0,0,0,274.5,7.04
Kobi Simmons,MEM,32,196,50,68,18,5,11,44,0,0,0,0,223.5,6.98
Channing Frye,LAL,53,264,135,38,18,13,39,21,0,0,0,0,365.5,6.9
Solomon Hill,NOP,12,29,36,22,7,1,4,9,0,0,0,0,81.5,6.79
Pat Connaughton,POR,82,441,161,91,23,22,74,43,0,0,0,0,556.5,6.79
Ramon Sessions,WAS,28,136,38,77,14,2,8,30,0,0,0,0,189.0,6.75
Rodney McGruder,MIA,18,91,33,17,8,3,15,4,0,0,0,0,121.0,6.72
Patrick Patterson,OKC,82,318,193,57,48,23,66,33,0,0,0,0,551.0,6.72
Jamel Artis,ORL,15,77,38,18,2,3,8,8,0,0,0,0,100.5,6.7
Tyler Ennis,LAL,54,224,95,105,30,10,14,38,0,0,1,0,362.0,6.7
Bryn Forbes,SAS,80,555,110,80,28,2,89,37,0,0,0,0,535.0,6.69
Derrick Rose,MIN,25,209,35,37,7,4,7,35,0,0,0,0,167.0,6.68
Norman Powell,TOR,70,385,119,89,37,16,53,66,0,0,0,0,467.0,6.67
Malik Monk,CHA,63,421,66,91,20,9,83,49,0,0,0,0,418.0,6.63
