Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Wendell Carter Jr.,68,808,509,143,55,43,68,83,0,0,10,0,1213.0,17.84
Peyton Watson,50,745,246,99,50,58,76,86,0,0,2,0,887.5,17.75
Jaime Jaquez Jr.,66,980,333,316,50,19,42,135,0,0,5,0,1168.0,17.7
Mark Williams,56,648,452,56,51,50,1,59,0,0,14,0,989.5,17.67
Dillon Brooks,50,1044,183,88,52,8,117,89,1,0,0,0,883.5,17.67
Moussa Diabaté,64,523,562,120,48,66,1,64,0,0,18,0,1126.0,17.59
Deandre Ayton,63,781,524,54,37,56,0,78,0,0,21,0,1097.5,17.42
Jalen Slawson,5,38,23,15,8,8,6,5,0,0,0,0,87.0,17.4
Jaden McDaniels,70,1025,299,195,78,67,99,128,0,0,0,0,1218.0,17.4
Alondes Williams,4,44,25,12,3,3,5,5,0,0,1,0,69.5,17.38
Brandin Podziemski,72,932,377,271,79,14,127,116,0,0,4,0,1251.5,17.38
Andersson Garcia,5,26,42,14,8,4,1,7,0,0,0,0,86.5,17.3
Kelly Oubre Jr.,41,602,199,71,54,22,74,59,0,0,4,0,705.0,17.2
Reed Sheppard,71,960,200,242,105,48,191,114,0,0,2,0,1211.5,17.06
Myles Turner,66,785,347,97,46,100,137,81,0,0,3,0,1119.0,16.95
Coby White,41,731,147,179,24,5,99,109,0,0,1,0,691.0,16.85
Jakob Poeltl,35,363,265,73,28,26,0,45,0,0,6,0,588.5,16.81
Jerami Grant,55,1023,192,122,41,33,130,115,0,0,0,0,923.5,16.79
Jalen Green,25,443,91,73,27,3,58,55,0,0,0,0,419.5,16.78
Naji Marshall,69,1059,329,226,71,6,60,114,0,0,2,0,1156.5,16.76
Tre Jones,55,714,163,299,68,10,32,75,0,0,5,0,921.0,16.75
Cedric Coward,54,721,334,152,31,23,80,97,0,0,7,0,904.5,16.75
Toumani Camara,73,951,381,184,78,30,186,135,0,0,3,0,1217.5,16.68
Julian Reese,5,46,47,9,5,2,0,12,0,0,2,0,83.0,16.6
Bobby Portis,67,915,428,105,41,12,135,66,0,0,11,0,1109.0,16.55
Bilal Coulibaly,49,553,217,130,68,47,57,73,0,0,0,0,809.0,16.51
Kyle Filipowski,70,737,486,169,67,36,63,117,0,0,10,0,1154.0,16.49
Tobias Harris,55,731,286,133,49,21,70,56,0,0,3,0,906.5,16.48
Ajay Mitchell,50,704,173,179,66,15,54,76,0,0,1,0,818.0,16.36
Isaiah Collier,59,688,150,423,66,20,27,148,0,0,10,0,964.5,16.35
Draymond Green,59,505,330,314,51,34,89,160,0,0,2,0,953.0,16.15
Devin Vassell,57,804,216,142,47,22,142,53,0,0,0,0,916.0,16.07
Lawson Lovering,2,14,15,3,3,1,0,2,0,0,1,0,32.0,16.0
Zach LaVine,39,748,108,89,28,10,99,74,1,0,0,0,623.5,15.99
Tari Eason,49,506,308,78,60,26,78,73,0,0,6,0,783.0,15.98
Mitchell Robinson,54,296,480,50,47,62,0,39,0,0,5,0,862.0,15.96
Jaylon Tyson,64,839,328,141,50,26,130,94,0,0,7,0,1018.5,15.91
Kadary Richmond,3,25,10,8,8,1,2,2,0,0,0,0,47.5,15.83
Royce O'Neale,70,702,339,195,80,29,195,97,0,0,2,0,1105.5,15.79
Quentin Grimes,66,916,246,228,61,26,115,124,0,0,2,0,1041.5,15.78
John Collins,59,809,310,59,50,47,79,81,0,0,3,0,929.0,15.75
Daniel Gafford,51,482,356,55,38,63,0,62,0,0,10,0,802.0,15.73
Maxime Raynaud,65,775,474,82,30,36,17,79,0,0,16,0,1021.0,15.71
Ayo Dosunmu,63,915,203,223,49,16,114,83,0,0,1,0,988.5,15.69
Julian Champagnie,72,798,413,107,56,32,172,65,0,0,7,0,1123.0,15.6
